"","Family","F_mass","M_mass","F_tail","M_tail","Clutch_size","Common_Mating_System","Common_Display","Common_Resource"
"1",6,1537.33333333333,1735.66666666667,223.1,233.8,2.88,2,NA,NA
"2",7,1642.66666666667,1862.66666666667,186.35,189.1,12.96,2,1,0
"3",8,636.894339622641,853.18275862069,105.786206896552,125.95593220339,7.28457627118644,NA,NA,NA
"4",9,1453.5,1360.5,164.083333333333,172.416666666667,7.33333333333333,NA,NA,NA
"5",10,181.583333333333,192.983333333333,99.1666666666667,96.7,9.33333333333333,2,NA,NA
"6",13,796.25,758,57.625,57.65,10.3733333333333,NA,NA,NA
"7",14,1434.91366906475,1719.13138686131,90.951282051282,99.0151898734177,7.71987654320988,NA,NA,NA
"8",15,70.4666666666667,46.19,37.4333333333333,33.4,3.441,1,1,NA
"9",16,26.1333333333333,27.95,51.3333333333333,54.74,3.1,NA,NA,NA
"10",17,72.7690476190476,78.3204545454546,75.2527272727273,75.4072727272727,4.13021739130435,NA,NA,NA
"11",19,44.1076923076923,40.8851851851852,52.27,52.2675,3.1551724137931,NA,NA,NA
"12",23,445.972222222222,485.388888888889,215.380952380952,236.47619047619,2.7125,NA,NA,NA
"13",24,3324,4179,318,348,1.5,NA,NA,NA
"14",25,65.5,66.9,101,103,4.4,NA,3,1
"15",26,53.075,65.45,193.8,210.4,3.05,NA,NA,NA
"16",28,89.4,101.1,160.825,156.3,2.5125,NA,NA,NA
"17",29,128.228571428571,125.075,113.255555555556,114.588888888889,3.21428571428571,NA,NA,NA
"18",34,27.0285714285714,26.9,34.98,34.28,5.12,NA,NA,NA
"19",35,93.4466666666667,85.52,79.5857142857143,83.65,3.41266666666667,NA,NA,NA
"20",36,162.2,151.575,73.8,80.2333333333333,4.5,2,NA,NA
"21",37,28.6444444444444,32.3,81.42,83.03,3.51444444444444,NA,NA,NA
"22",38,46.1333333333333,47.5666666666667,208.4,219.4,2.7,NA,NA,NA
"23",39,89.7103448275862,91.4322580645161,146.158333333333,144.119230769231,2.12823529411765,NA,NA,1
"24",40,259.914285714286,209.585714285714,244.728571428571,223.028571428571,3.28,NA,NA,NA
"25",41,62.3666666666667,56.3,155.4,153.2,3.10333333333333,2,NA,NA
"26",43,98.2666666666667,105.966666666667,135,144,4.19,2,NA,NA
"27",44,286.3,319.1,278.7,296.3,4.44,2,NA,NA
"28",45,226.992424242424,242.093055555556,132.090789473684,136.564473684211,3.89753246753247,2,1,1
"29",46,42.1833333333333,42.56875,61.84,59.8714285714286,2.63190476190476,NA,NA,NA
"30",48,5.04437086092715,5.55359477124183,31.3666666666667,32.44,1.99733333333333,NA,NA,NA
"31",49,351.691666666667,332.5,225.1,221.636363636364,1.96875,NA,NA,1
"32",50,616.85,412.7,124.875,121.375,2.96,2,4,2
"33",51,604.958536585366,489.630952380952,153.92619047619,149.551162790698,3.26694444444444,NA,NA,NA
"34",52,44,44,118.4,116.9,3.03,2,NA,2
"35",53,282.833333333333,318.666666666667,229.15,234.75,1.52666666666667,2,NA,2
"36",57,91,104.5,158.2,161.3,1,NA,1,1
"37",58,61.344,57.9166666666667,122.328571428571,128.982142857143,1.92,NA,NA,NA
"38",60,226.7,241.932727272727,115.998039215686,119.160377358491,1.71098360655738,NA,NA,NA
"39",62,2438.4,4623.7,181.314285714286,204,1.90076923076923,NA,NA,NA
"40",63,4374.47142857143,5330.31666666667,199.08,212.3,2.08142857142857,NA,NA,NA
"41",65,338,627,122,139,2.3,2,NA,NA
"42",69,328.223529411765,361.286111111111,59.9857142857143,61.9742857142857,5.74095238095238,NA,NA,NA
"43",71,239.27,255.863636363636,95.8272727272727,107.133333333333,2.70461538461538,NA,NA,NA
"44",73,72.4,54,31.8,29.6,3.6,1,NA,1
"45",74,157.7734375,139.990625,63.0964285714286,63.1456140350877,3.81384615384615,NA,NA,NA
"46",75,159,146,52.2,50.6,3.88,1,1,NA
"47",76,200.883333333333,120.766666666667,40.725,36.75,3.7275,NA,NA,NA
"48",77,594.5,680,115.5,119,2.235,2,1,1
"49",79,457.275,481.166666666667,114,117.5,1.952,NA,NA,NA
"50",80,208.341463414634,205.469047619048,73.7764705882353,75.321568627451,3.12942307692308,NA,NA,NA
"51",81,93.1888888888889,98.54,72.7714285714286,75.5,2.16625,NA,NA,NA
"52",82,461.069117647059,516.213432835821,117.695454545455,121.091044776119,1.8905,NA,NA,NA
"53",83,1590.76419753086,1258.42235294118,234.34696969697,221.085294117647,2.37616279069767,NA,NA,NA
"54",84,3405,3809,647.5,762,1.96,NA,NA,NA
"55",85,427.9625,328.846875,166.344444444444,152.511111111111,3.44541666666667,NA,NA,NA
