"","Family","Species_name","Genus","F_mass","M_mass","F_tail","M_tail","Clutch_size","Mating_System","Display","Resource"
"1","115","Acanthagenys rufogularis","Acanthagenys",41.4,47.1,106.4,113.4,2.2,"2","3","2"
"2","101","Acanthisitta chloris","Acanthisitta",7,5.6,22.1,23.3,4,"2","1","2"
"3","116","Acanthiza chrysorrhoa","Acanthiza",9.8,9.4,39.3,40.8,3.5,"2","1","1"
"4","116","Acanthiza ewingii","Acanthiza",6.7,7.2,46.8,47.8,3.5,"2","1","0"
"5","116","Acanthiza inornata","Acanthiza",6.9,7.2,35.4,36.3,3,"2",NA,"1"
"6","116","Acanthiza iredalei","Acanthiza",5.7,5.8,39.6,40.6,3,NA,"1","1"
"7","116","Acanthiza katherina","Acanthiza",6.7,6.8,41.5,41.1,2.5,NA,NA,NA
"8","116","Acanthiza lineata","Acanthiza",7.4,7.6,38.8,39.4,3,"2","2","0"
"9","116","Acanthiza nana","Acanthiza",6.3,6.5,36.6,36,3,"2",NA,NA
"10","116","Acanthiza pusilla","Acanthiza",6.5,7.4,42.5,44.9,3,"2","1","2"
"11","116","Acanthiza pusilla apicalis","Acanthiza",NA,NA,NA,NA,NA,"2",NA,NA
"12","116","Acanthiza reguloides","Acanthiza",7.4,7.7,38.8,40.3,3.5,"2",NA,"1"
"13","116","Acanthiza robustirostris","Acanthiza",5.9,6.2,40.1,41.5,3,"2","1",NA
"14","116","Acanthiza uropygialis","Acanthiza",6.2,6.5,38.2,39.1,3,"2",NA,"1"
"15","115","Acanthorhynchus superciliosus","Acanthorhynchus",9,10.5,53.3,58.3,1.56,"2","3","1"
"16","115","Acanthorhynchus tenuirostris","Acanthorhynchus",9,10.6,54.9,62.1,2.2,"2","5",NA
"17","116","Acanthornis magnus","Acanthornis",9.6,10.8,NA,NA,3,"2","1","2"
"18","83","Accipiter badius","Accipiter",NA,NA,177,147,3.5,NA,"5",NA
"19","83","Accipiter castanilius","Accipiter",176,142.5,159.5,133,NA,NA,NA,NA
"20","83","Accipiter cirrocephalus","Accipiter",231,129,171,150,2.9,"2","4","0"
"21","83","Accipiter cooperii","Accipiter",140,103,NA,NA,3.8,NA,"3","1"
"22","83","Accipiter erythropus","Accipiter",NA,NA,108,108,2,NA,NA,NA
