"","Family","F_mass","F_bill","F_tail","Clutch_size","Common_Mating_System","Common_Display","Common_Resource"
"1",7,1642.66666666667,32.2,186.35,12.96,2,1,0
"2",45,226.992424242424,22.73578125,132.090789473684,3.89753246753247,2,1,1
"3",50,616.85,41,124.875,2.96,2,4,2
"4",77,594.5,32,115.5,2.235,2,1,1
"5",87,220.2,61.3,99.1,1,2,4,0
"6",97,1426.25,114.275,392.675,1,2,2,0
"7",100,1588.86829268293,60.5391891891892,119.458823529412,1,2,1,0
"8",101,13.3,14.85,21.05,3.55,2,1,2
"9",114,13.3772727272727,13.0809523809524,76.5333333333333,2.75,2,1,2
"10",117,17.4666666666667,15.6586956521739,61.2173913043478,2.23913043478261,2,1,2
"11",126,33.6333333333333,11.9133333333333,54.9,3.64666666666667,2,1,0
